キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
a,0.142,1.577,396.074
k,0.123,0.045,396.261
u,0.077,0.118,396.502
w,0.138,0.700,397.279
a,0.128,0.800,397.379
k,0.119,0.029,397.535
u,0.076,0.107,397.762
t,0.143,0.908,398.745
i,0.080,1.013,398.850
k,0.084,0.099,399.030
a,0.313,0.038,399.151
f,0.133,0.998,400.462
u,0.110,1.078,400.542
r,0.118,0.101,400.752
o,0.086,0.082,400.952
b,0.095,2.733,403.771
a,0.081,0.026,403.893
a,0.118,0.071,404.045
i,0.139,0.045,404.207
y,0.139,0.852,405.198
o,0.113,0.908,405.254
r,0.107,0.162,405.529
u,0.090,0.245,405.612
m,0.125,1.010,406.712
o,0.112,1.106,406.808
r,0.158,0.117,407.037
a,0.138,0.197,407.118
u,0.093,0.046,407.302
k,0.084,0.933,408.328
a,0.124,0.029,408.441
m,0.078,0.144,408.556
e,0.120,0.045,408.680
i,0.097,0.048,408.848
t,0.131,2.156,411.101
u,0.088,2.260,411.205
t,0.105,0.050,411.344
i,0.086,0.118,411.411
t,0.129,1.424,412.921
i,0.094,1.517,413.014
s,0.124,1.720,414.828
i,0.113,1.820,414.928
a,0.136,0.037,415.078
i,0.084,0.141,415.183
i,0.084,1.233,416.500
d,0.113,0.177,416.760
o,0.090,0.272,416.855
u,0.080,0.116,417.061
a,0.119,1.677,418.819
s,0.149,0.092,419.029
a,0.144,0.158,419.096
i,0.080,0.054,419.293
h,0.135,1.136,420.510
i,0.151,1.203,420.577
k,0.110,1.296,422.023
a,0.067,1.406,422.134
r,0.107,0.338,422.538
a,0.183,0.378,422.579
k,0.101,0.099,422.860
u,0.066,0.100,423.061
h,0.120,0.928,424.055
i,0.104,1.003,424.130
r,0.124,0.131,424.365
a,0.139,0.193,424.428
k,0.098,0.067,424.556
u,0.070,0.097,424.750
t,0.160,1.015,425.835
a,0.158,1.100,425.920
g,0.153,0.183,426.261
a,0.083,0.284,426.362
d,0.157,0.192,426.637
a,0.160,0.267,426.712
i,0.075,1.143,428.015
t,0.198,0.296,428.386
e,0.188,0.362,428.452
d,0.118,1.098,429.738
o,0.081,1.174,429.813
r,0.107,0.104,429.998
u,0.059,0.030,430.135
h,0.081,1.374,431.568
a,0.104,0.030,431.679
k,0.069,0.026,431.808
u,0.071,0.103,431.981
b,0.110,1.382,433.434
o,0.069,1.492,433.543
o,0.104,0.053,433.666
k,0.142,0.235,434.005
a,0.111,1.587,435.733
z,0.110,0.151,435.996
e,0.128,0.157,436.263
w,0.083,0.172,436.278
b,0.087,0.555,436.946
o,0.039,0.030,437.062
k,0.097,0.047,437.149
u,0.078,0.125,437.371
e,0.128,1.250,438.700
i,0.091,1.366,438.816
d,0.243,1.363,440.269
a,0.155,1.542,440.449
i,0.103,0.073,440.585
e,0.145,0.518,441.206
i,0.056,0.031,441.382
g,0.144,0.062,441.500
a,0.112,0.127,441.566
i,0.085,0.030,441.674
t,0.120,1.232,442.991
i,0.106,1.320,443.079
g,0.098,0.436,443.621
o,0.070,0.026,443.745
f,0.119,3.722,447.537
u,0.105,3.763,447.578
r,0.162,0.199,447.883
e,0.149,0.278,447.961
r,0.127,0.160,448.270
u,0.083,0.283,448.394
f,0.116,1.977,450.453
u,0.127,2.084,450.561
u,0.130,0.311,450.998
f,0.079,0.500,451.627
u,0.084,0.550,451.677
u,0.081,2.557,454.318
i,0.134,1.128,455.527
t,0.119,0.335,455.996
i,0.090,0.428,456.089
o,0.090,0.373,456.552
u,0.087,0.205,456.847
t,0.145,1.064,457.999
a,0.133,1.164,458.098
m,0.133,0.074,458.306
e,0.155,0.038,458.477
g,0.133,2.012,460.643
o,0.115,2.116,460.747
m,0.096,0.481,461.343
e,0.151,0.536,461.398
