キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
i,0.128,0.120,320.850
o,0.053,0.379,321.357
o,0.096,0.056,321.466
k,0.067,0.052,321.614
i,0.075,0.052,321.733
i,0.118,0.377,322.185
i,0.076,0.666,322.969
s,0.096,0.124,323.170
s,0.099,0.079,323.345
y,0.066,0.082,323.526
o,0.070,0.035,323.627
h,0.081,1.030,324.726
a,0.119,1.109,324.805
k,0.120,0.029,324.953
u,0.109,0.104,325.028
d,0.113,0.620,325.757
a,0.153,0.681,325.818
m,0.059,0.051,326.022
e,0.055,0.029,326.110
d,0.077,0.566,326.731
o,0.059,0.034,326.842
r,0.087,0.081,326.982
e,0.116,0.124,327.025
b,0.122,0.660,327.801
o,0.099,0.068,327.992
p,0.050,0.077,328.000
b,0.121,0.496,328.586
o,0.119,0.556,328.647
t,0.098,0.061,328.826
a,0.086,0.143,328.908
n,0.081,0.118,329.112
n,0.085,0.046,329.239
z,0.162,0.599,329.923
a,0.124,0.098,330.183
s,0.058,0.166,330.474
s,0.084,0.081,330.613
i,0.065,0.030,330.727
s,0.091,0.611,331.402
o,0.109,0.701,331.493
r,0.066,0.362,331.964
u,0.045,0.034,332.064
f,0.149,0.449,332.558
u,0.081,0.594,332.703
m,0.116,0.223,333.006
u,0.093,0.313,333.097
k,0.120,0.600,333.790
u,0.102,0.691,333.880
b,0.101,0.049,334.031
i,0.122,0.118,334.100
y,0.113,1.572,335.794
u,0.096,1.638,335.861
m,0.116,0.058,336.014
e,0.084,0.043,336.173
w,0.120,0.479,336.736
a,0.129,0.538,336.795
k,0.103,0.051,336.908
u,0.102,0.053,336.977
m,0.100,0.502,337.581
o,0.099,0.567,337.646
e,0.073,0.220,337.965
r,0.086,0.119,338.157
u,0.060,0.042,338.285
n,0.099,0.384,338.729
a,0.063,0.042,338.870
m,0.086,0.026,338.959
a,0.156,0.089,339.134
g,0.081,0.585,339.875
o,0.049,0.034,339.991
g,0.069,0.024,340.064
o,0.102,0.085,340.124
m,0.078,0.583,340.809
a,0.073,0.042,340.929
k,0.133,0.110,340.997
u,0.099,0.093,341.094
s,0.105,0.962,342.155
i,0.089,1.057,342.250
a,0.121,0.075,342.414
i,0.094,0.188,342.527
s,0.063,0.390,343.011
o,0.053,0.034,343.108
d,0.125,0.163,343.324
e,0.116,0.230,343.391
t,0.083,0.376,343.883
o,0.036,0.042,344.008
r,0.084,0.083,344.127
i,0.070,0.165,344.209
t,0.070,0.729,345.008
o,0.064,0.032,345.109
r,0.071,0.268,345.441
i,0.055,0.046,345.558
t,0.069,0.351,345.964
o,0.087,0.043,346.076
t,0.063,0.048,346.211
i,0.084,0.110,346.274
h,0.081,0.620,346.978
a,0.091,0.033,347.091
k,0.128,0.103,347.162
u,0.101,0.073,347.256
d,0.138,0.541,347.898
e,0.075,0.641,347.997
a,0.103,0.036,348.072
d,0.104,0.256,348.431
a,0.128,0.324,348.499
r,0.113,0.130,348.757
e,0.101,0.197,348.824
r,0.095,0.704,349.629
y,0.074,0.033,349.757
o,0.091,0.028,349.860
u,0.093,0.081,349.912
t,0.075,0.435,350.440
o,0.061,0.032,350.547
k,0.073,0.049,350.656
i,0.099,0.063,350.792
s,0.153,0.999,351.890
a,0.154,1.065,351.956
s,0.076,0.455,352.565
u,0.057,0.530,352.640
b,0.082,0.593,353.291
a,0.088,0.030,353.402
g,0.052,0.103,353.592
g,0.149,0.146,353.790
u,0.101,0.096,354.035
s,0.062,0.419,354.555
y,0.081,0.058,354.675
o,0.078,0.027,354.782
s,0.134,1.166,356.026
y,0.121,1.260,356.120
u,0.102,0.036,356.197
g,0.103,0.063,356.361
i,0.082,0.032,356.496
t,0.113,1.266,357.844
o,0.116,1.362,357.940
u,0.109,0.050,358.007
f,0.105,0.124,358.241
u,0.077,0.033,358.379
i,0.084,0.640,359.095
r,0.084,0.034,359.213
a,0.141,0.090,359.270
i,0.073,0.078,359.376
g,0.104,0.695,360.143
a,0.126,0.732,360.181
a,0.134,0.238,360.545
g,0.039,0.206,360.884
g,0.120,0.048,360.971
a,0.162,0.134,361.058
k,0.079,1.554,362.774
a,0.113,1.630,362.850
z,0.129,0.094,363.057
e,0.115,0.089,363.275
a,0.098,0.502,363.892
i,0.071,0.033,364.024
t,0.088,0.173,364.268
