キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
i,0.074,1.906,127.541
k,0.163,0.062,127.678
o,0.135,0.150,127.766
u,0.140,0.013,127.914
j,0.103,0.868,128.921
a,0.095,0.059,129.084
m,0.135,0.076,129.101
u,0.135,0.077,129.312
space,0.103,0.450,129.897
h,0.121,1.981,131.981
u,0.105,2.086,132.086
b,0.104,0.090,132.281
e,0.090,0.030,132.415
n,0.059,0.016,132.521
n,0.088,0.048,132.627
w,0.108,1.802,134.517
a,0.089,1.892,134.607
n,0.206,0.034,134.730
i,0.119,0.106,134.802
space,0.091,0.210,135.146
r,0.119,3.718,138.955
i,0.104,0.018,139.092
p,0.090,0.210,139.405
p,0.055,0.035,139.530
a,0.086,0.050,139.635
s,0.136,1.681,141.402
a,0.091,1.755,141.476
u,0.121,0.148,141.716
s,0.075,0.255,142.091
u,0.106,0.015,142.181
s,0.121,0.194,142.481
a,0.119,0.555,143.157
s,0.090,0.091,143.366
u,0.076,0.015,143.471
m,0.106,1.244,144.791
e,0.110,0.054,144.952
d,0.092,0.105,145.166
u,0.122,0.180,145.241
m,0.139,0.433,145.796
e,0.134,0.555,145.918
s,0.122,0.089,146.141
u,0.090,0.013,146.276
y,0.120,1.306,147.672
a,0.105,0.121,147.913
r,0.121,0.133,148.151
i,0.100,0.229,148.247
s,0.102,0.933,149.280
o,0.074,1.036,149.382
t,0.136,0.316,149.772
o,0.088,0.452,149.908
y,0.110,0.675,150.672
o,0.100,0.785,150.781
r,0.106,0.016,150.897
i,0.106,0.090,150.971
t,0.135,0.781,151.858
o,0.121,0.074,152.067
u,0.075,0.015,152.202
h,0.181,0.239,152.516
u,0.169,0.303,152.580
t,0.105,0.517,153.267
y,0.124,0.517,153.267
o,0.104,0.592,153.342
u,0.119,0.256,153.702
i,0.120,0.256,154.078
g,0.150,0.900,155.098
y,0.136,0.089,155.337
o,0.107,0.166,155.414
u,0.106,0.009,155.531
b,0.119,0.977,156.614
i,0.089,1.081,156.718
j,0.166,0.090,156.897
k,0.135,0.090,156.897
i,0.127,0.150,156.957
n,0.063,0.099,157.183
n,0.080,0.053,157.299
b,0.119,0.769,158.147
i,0.135,0.748,159.014
j,0.195,0.059,159.207
i,0.104,0.178,159.327
n,0.059,0.123,159.554
n,0.067,0.052,159.665
n,0.083,0.051,159.783
t,0.143,0.773,160.640
e,0.135,0.856,160.722
i,0.104,0.062,160.919
d,0.135,0.105,161.127
o,0.106,0.194,161.216
b,0.133,0.767,162.089
a,0.099,0.066,162.289
a,0.121,0.045,162.433
i,0.072,0.016,162.570
y,0.116,0.679,163.321
o,0.102,0.738,163.380
k,0.181,0.016,163.498
o,0.135,0.091,163.573
u,0.120,0.525,164.233
g,0.120,0.134,164.487
a,0.120,0.194,164.547
i,0.091,0.030,164.696
u,0.103,0.030,164.697
h,0.135,0.873,165.673
a,0.119,0.918,165.718
t,0.120,0.075,165.913
o,0.089,0.165,166.002
r,0.100,1.355,167.447
i,0.089,1.426,167.517
y,0.122,0.076,167.682
u,0.091,0.198,167.804
u,0.070,0.018,167.913
j,0.195,0.706,168.688
i,0.120,0.766,168.748
j,0.092,0.330,169.214
a,0.074,0.614,169.919
m,0.101,0.079,170.072
a,0.090,0.163,170.157
a,0.105,0.900,171.148
r,0.135,0.196,171.449
a,0.104,0.330,171.583
u,0.120,0.060,171.747
y,0.120,0.646,172.514
a,0.135,0.048,172.682
n,0.102,0.014,172.831
e,0.104,0.031,172.963
e,0.121,1.020,174.088
n,0.062,0.059,174.267
n,0.092,0.028,174.357
m,0.091,0.058,174.507
u,0.106,0.075,174.672
space,0.122,0.179,174.957
j,0.088,3.615,178.695
y,0.107,0.152,178.935
o,0.121,0.211,178.994
i,0.058,0.230,179.013
u,0.117,0.030,179.101
j,0.090,0.631,179.850
y,0.119,0.048,179.987
i,0.078,0.150,180.089
o,0.107,0.150,180.089
u,0.117,0.015,180.183
j,0.105,0.419,180.718
y,0.117,0.124,180.947
o,0.134,0.060,181.124
u,0.106,0.059,181.317
b,0.162,0.123,181.546
u,0.075,0.015,181.723
d,0.120,1.951,183.748
o,0.120,2.000,183.797
k,0.145,0.049,183.918
u,0.116,0.034,184.097
o,0.073,0.634,184.846
o,0.057,0.046,184.966
k,0.090,0.060,185.083
i,0.091,0.059,185.232
i,0.074,0.030,185.353
r,0.135,0.618,186.045
o,0.074,0.736,186.164
k,0.106,0.046,186.284
k,0.090,0.045,186.434
u,0.091,0.088,186.612
y,0.119,0.811,187.515
a,0.121,0.074,187.708
r,0.067,0.055,187.883
u,0.090,0.014,187.964
a,0.121,0.645,188.699
t,0.136,0.119,188.939
a,0.137,0.239,189.059
r,0.120,0.074,189.269
u,0.119,0.163,189.358
a,0.104,0.783,190.261
i,0.120,0.075,190.439
t,0.121,0.104,190.663
e,0.120,0.165,190.724
u,0.119,0.556,191.400
e,0.134,0.060,191.579
r,0.152,0.075,191.788
u,0.053,0.021,191.961
h,0.106,1.050,193.065
g,0.061,1.079,193.094
o,0.091,1.125,193.139
m,0.196,0.088,193.318
i,0.121,0.239,193.469
y,0.118,0.707,194.297
o,0.090,0.794,194.384
b,0.120,0.406,194.880
u,0.091,0.015,195.014
t,0.124,1.019,196.124
y,0.121,0.131,196.379
o,0.121,0.221,196.469
u,0.144,0.051,196.550
s,0.121,0.105,196.695
u,0.089,0.106,196.800
d,0.092,0.569,197.458
i,0.091,0.601,197.490
k,0.151,0.043,197.624
o,0.125,0.149,197.730
d,0.120,0.144,197.999
o,0.091,0.234,198.089
k,0.119,0.016,198.196
s,0.058,0.016,198.196
o,0.111,0.074,198.254
e,0.104,1.105,199.470
i,0.104,0.016,199.591
g,0.152,0.074,199.769
a,0.108,0.134,199.829
n,0.105,1.093,201.030
a,0.090,1.168,201.106
n,0.063,0.010,201.205
a,0.076,0.043,201.238
y,0.135,1.575,202.889
o,0.133,1.640,202.954
u,0.072,0.016,203.103
i,0.106,0.104,203.280
j,0.091,0.284,203.669
k,0.107,0.284,203.669
a,0.090,0.375,203.760
m,0.151,0.044,203.895
e,0.075,0.195,204.046
k,0.073,0.527,204.647
a,0.074,0.075,204.796
m,0.179,0.120,204.840
i,0.123,0.060,204.929
a,0.090,0.779,205.830
m,0.090,0.014,205.935
a,0.089,0.104,206.025
i,0.121,0.060,206.174
y,0.111,0.540,206.836
u,0.046,0.053,207.000
r,0.135,0.058,207.105
u,0.106,0.118,207.165
i,0.134,0.270,207.540
h,0.150,0.345,208.020
a,0.106,0.406,208.080
k,0.184,0.059,208.246
o,0.105,0.163,208.350
b,0.102,1.009,209.464
e,0.094,0.104,209.670
d,0.072,0.149,209.912
d,0.075,0.029,210.014
o,0.105,0.016,210.105
a,0.120,0.540,210.750
r,0.121,0.090,210.961
a,0.117,0.032,211.113
u,0.111,0.054,211.284
k,0.122,0.630,212.026
a,0.074,0.736,212.131
g,0.107,0.136,212.340
i,0.088,0.014,212.462
b,0.091,0.991,213.540
a,0.076,0.089,213.720
k,0.065,0.053,213.849
k,0.085,0.050,213.965
u,0.120,0.061,214.111
y,0.133,0.948,215.179
u,0.094,0.209,215.520
v,0.073,0.283,215.897
u,0.061,0.045,216.015
y,0.119,0.647,216.722
u,0.123,0.765,216.840
b,0.087,0.015,216.979
u,0.101,0.077,217.041
y,0.137,0.434,217.576
u,0.123,0.028,217.740
b,0.120,0.028,217.892
i,0.099,0.138,218.002
k,0.059,0.390,218.491
m,0.135,0.062,218.612
a,0.091,0.028,218.775
k,0.075,0.029,218.895
e,0.103,0.047,219.018
o,0.123,0.870,219.991
r,0.135,0.117,220.230
e,0.120,0.162,220.275
r,0.123,0.045,220.441
u,0.073,0.015,220.578
a,0.090,0.945,221.596
s,0.105,0.194,221.880
u,0.095,0.016,222.001
k,0.120,0.055,222.152
u,0.121,0.047,222.319
space,0.086,0.030,222.469
t,0.150,3.046,225.601
i,0.074,3.196,225.751
o,0.091,3.196,225.751
u,0.106,0.016,225.858
h,0.087,0.121,225.963
u,0.105,0.016,226.066
y,0.085,0.049,226.099
t,0.104,0.783,226.967
o,0.135,0.844,227.028
u,0.075,0.013,227.176
h,0.075,0.031,227.282
u,0.077,0.013,227.370
d,0.149,2.400,229.846
a,0.130,2.474,229.921
i,0.102,0.018,230.014
j,0.162,0.048,230.164
i,0.147,0.121,230.236
r,0.134,1.864,232.248
u,0.103,1.970,232.353
-,0.110,0.075,232.531
0,0.063,0.106,232.563
r,0.124,0.115,232.756
u,0.086,0.015,232.895
e,0.133,0.799,233.780
i,0.119,0.871,233.853
g,0.091,0.075,234.047
o,0.086,0.022,234.160
z,0.135,0.852,235.098
e,0.118,0.029,235.263
r,0.122,0.060,235.441
o,0.105,0.149,235.712
b,0.152,0.661,236.478
a,0.151,0.765,236.582
r,0.120,0.089,236.822
a,0.109,0.208,236.941
t,0.135,1.078,238.128
a,0.121,0.329,238.592
i,0.150,0.073,238.786
s,0.180,0.122,239.058
e,0.122,0.197,239.133
i,0.085,0.018,239.273
d,0.119,0.931,240.289
o,0.109,1.006,240.364
k,0.175,0.030,240.502
o,0.128,0.099,240.572
m,0.180,5.438,246.139
i,0.142,5.530,246.230
n,0.075,0.053,246.425
n,0.084,0.049,246.550
n,0.104,0.030,246.663
a,0.059,0.016,246.783
k,0.107,2.101,248.942
a,0.119,2.207,249.049
n,0.119,0.016,249.183
a,0.168,0.059,249.361
r,0.119,0.103,249.632
i,0.120,0.192,249.722
t,0.149,1.038,250.880
i,0.104,1.156,250.998
k,0.118,0.047,251.149
a,0.074,0.166,251.268
d,0.150,0.541,251.883
e,0.151,0.571,251.913
a,0.105,0.062,252.125
u,0.057,0.017,252.247
t,0.118,0.977,253.280
y,0.073,1.008,253.311
o,0.107,0.091,253.489
o,0.100,0.016,253.612
y,0.113,0.211,253.923
t,0.045,0.256,253.968
o,0.079,0.032,254.068
i,0.090,0.318,254.465
i,0.092,0.044,254.598
t,0.105,0.328,255.019
o,0.090,0.060,255.184
o,0.103,0.031,255.305
i,0.120,0.105,255.513
m,0.119,0.782,256.415
a,0.091,0.901,256.534
d,0.121,0.088,256.713
o,0.106,0.164,256.789
t,0.165,1.513,258.408
a,0.124,1.620,258.514
d,0.149,0.055,258.694
a,0.120,0.159,258.797
w,0.136,0.901,259.819
a,0.075,0.044,259.999
r,0.150,0.090,260.164
e,0.113,0.156,260.230
r,0.114,0.023,260.366
u,0.103,0.015,260.495
y,0.086,0.950,261.548
o,0.088,1.036,261.634
s,0.105,0.061,261.783
o,0.112,0.121,261.843
u,0.113,0.016,261.971
j,0.194,0.704,262.789
i,0.219,0.831,262.916
k,0.087,0.048,263.182
i,0.105,0.075,263.344
t,0.134,0.886,264.335
r,0.134,0.211,264.680
a,0.105,0.346,264.814
n,0.105,0.089,264.903
n,0.079,0.058,265.066
t,0.125,0.057,265.203
i,0.117,0.167,265.312
t,0.123,0.646,266.075
o,0.118,0.768,266.198
r,0.133,0.030,266.346
u,0.118,0.120,266.436
p,0.136,0.840,267.394
u,0.091,0.238,267.768
r,0.117,0.079,267.938
i,0.122,0.181,268.040
o,0.090,0.196,268.055
p,0.092,0.568,268.730
u,0.104,0.223,269.045
r,0.122,0.016,269.165
o,0.104,0.121,269.270
