キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
k,0.065,0.070,228.801
k,0.064,0.045,228.911
e,0.063,0.043,229.018
n,0.063,0.033,229.114
n,0.085,0.061,229.238
j,0.130,2.065,231.387
i,0.105,2.121,231.443
k,0.079,0.056,231.604
e,0.062,0.021,231.704
n,0.051,0.025,231.790
n,0.060,0.273,232.113
h,0.077,2.098,234.272
u,0.094,0.100,234.448
k,0.151,0.121,234.663
o,0.116,0.217,234.760
u,0.099,0.023,234.899
w,0.197,1.114,236.111
a,0.163,1.177,236.175
r,0.143,0.138,236.476
e,0.117,0.194,236.531
b,0.194,0.967,237.615
a,0.117,1.074,237.723
k,0.084,0.042,237.882
a,0.068,0.021,237.987
r,0.138,1.021,239.076
i,0.086,0.051,239.265
t,0.097,0.130,239.481
y,0.064,0.132,239.484
u,0.028,0.034,239.613
r,0.110,0.697,240.338
i,0.082,0.030,240.479
t,0.113,1.629,242.189
u,0.106,1.721,242.282
g,0.105,0.877,243.265
u,0.101,0.969,243.358
a,0.075,0.141,243.600
i,0.081,0.067,243.743
s,0.075,0.882,244.706
i,0.097,0.031,244.812
r,0.087,0.060,244.969
u,0.082,0.028,245.084
o,0.065,0.966,246.132
i,0.092,0.243,246.440
o,0.073,0.746,247.278
t,0.067,0.172,247.524
y,0.112,0.076,247.666
a,0.071,0.091,247.868
space,0.085,0.545,248.484
u,0.100,3.151,251.720
r,0.089,0.072,251.892
i,0.101,0.144,251.964
b,0.178,0.095,252.161
a,0.118,0.185,252.251
b,0.150,1.756,254.126
a,0.108,1.837,254.207
i,0.071,0.030,254.306
k,0.116,0.090,254.467
j,0.072,0.099,254.475
u,0.093,0.055,254.638
d,0.086,1.531,256.261
f,0.054,1.531,256.261
o,0.092,1.567,256.298
u,0.099,0.776,257.166
d,0.096,0.153,257.418
o,0.055,0.245,257.510
n,0.037,0.105,257.670
i,0.065,1.055,258.762
j,0.087,0.212,259.039
y,0.090,0.107,259.232
o,0.066,0.173,259.298
u,0.081,0.024,259.388
b,0.155,0.648,260.117
a,0.110,0.720,260.189
i,0.069,0.027,260.300
k,0.072,0.058,260.427
u,0.082,0.067,260.566
b,0.171,0.453,261.101
a,0.100,0.554,261.202
a,0.062,0.095,261.398
i,0.088,0.076,261.535
m,0.138,0.649,262.273
a,0.116,0.784,262.408
d,0.176,0.067,262.591
a,0.107,0.176,262.700
w,0.142,0.377,263.184
a,0.084,0.039,263.365
i,0.084,0.033,263.482
n,0.061,0.124,263.690
n,0.076,0.063,263.814
h,0.090,0.694,264.584
u,0.076,0.031,264.705
t,0.089,0.054,264.836
r,0.048,0.068,264.850
y,0.115,1.647,266.572
o,0.107,1.742,266.667
m,0.132,0.348,267.122
i,0.086,0.101,267.355
d,0.187,1.132,268.574
a,0.127,1.223,268.664
m,0.090,1.302,268.744
e,0.095,0.052,268.886
t,0.086,1.160,270.141
o,0.104,1.238,270.219
r,0.074,0.025,270.349
i,0.098,0.027,270.449
y,0.125,1.267,271.813
a,0.075,0.084,272.022
k,0.055,0.028,272.126
m,0.088,0.162,272.343
y,0.160,0.221,272.652
t,0.126,0.224,272.655
a,0.089,0.328,272.759
y,0.126,0.313,273.161
a,0.086,0.383,273.231
m,0.041,0.035,273.352
u,0.113,0.087,273.480
b,0.182,0.824,274.417
a,0.136,0.922,274.515
t,0.102,0.052,274.703
u,0.093,0.130,274.781
s,0.085,0.949,275.823
o,0.098,0.051,275.959
r,0.084,0.099,276.156
u,0.096,0.032,276.271
s,0.112,0.434,276.801
a,0.108,0.500,276.867
k,0.084,0.022,276.997
e,0.067,0.049,277.131
h,0.095,0.954,278.152
o,0.055,0.029,278.276
m,0.167,0.100,278.431
o,0.129,0.211,278.542
h,0.087,0.891,279.561
i,0.085,0.969,279.640
m,0.130,0.093,279.818
o,0.133,0.177,279.902
g,0.179,0.672,280.707
h,0.148,0.673,280.708
a,0.115,0.781,280.816
g,0.179,0.890,281.820
a,0.138,0.957,281.887
m,0.056,0.034,282.059
e,0.088,0.086,282.201
n,0.076,0.077,282.367
n,0.076,0.054,282.497
space,0.089,0.180,282.752
t,0.091,3.023,285.865
o,0.099,0.061,286.016
u,0.119,0.761,286.875
h,0.090,0.170,287.164
u,0.098,0.240,287.234
k,0.115,1.656,288.987
a,0.094,1.766,289.097
g,0.125,0.119,289.311
i,0.104,0.031,289.467
m,0.099,0.400,289.970
u,0.105,0.107,290.176
t,0.078,0.100,290.381
i,0.092,0.167,290.448
e,0.087,0.525,291.064
i,0.066,0.030,291.181
m,0.142,0.099,291.347
