キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
o,0.067,0.032,275.772
m,0.070,0.199,276.038
w,0.061,0.052,276.160
e,0.084,0.054,276.162
g,0.142,0.559,276.806
o,0.066,0.701,276.947
m,0.076,0.258,277.271
e,0.087,0.057,277.404
n,0.058,0.197,277.688
n,0.069,0.059,277.804
v,0.056,0.333,278.206
i,0.058,0.069,278.331
b,0.098,0.336,278.725
i,0.064,0.034,278.857
a,0.056,0.452,279.372
z,0.041,0.168,279.596
b,0.091,0.376,280.013
i,0.079,0.071,280.175
z,0.067,0.200,280.454
a,0.095,0.792,281.313
e,0.111,0.602,282.010
i,0.078,0.075,282.196
g,0.126,0.154,282.428
a,0.101,0.246,282.520
y,0.109,0.683,283.304
a,0.078,0.032,283.446
m,0.095,0.151,283.675
a,0.067,0.033,283.803
s,0.111,0.339,284.210
i,0.047,0.027,284.349
n,0.106,0.176,284.572
u,0.108,0.266,284.662
s,0.100,0.468,285.238
i,0.082,0.053,285.391
k,0.076,0.139,285.612
a,0.100,0.034,285.721
o,0.066,0.501,286.321
p,0.098,0.503,286.323
p,0.069,0.115,286.536
i,0.071,0.516,287.121
p,0.061,0.735,287.927
o,0.059,0.107,288.095
r,0.049,0.526,288.680
t,0.049,0.183,288.911
p,0.100,0.310,289.271
o,0.085,0.075,289.446
t,0.073,0.107,289.638
t,0.058,0.078,289.789
o,0.064,0.066,289.913
b,0.101,1.300,291.277
u,0.078,0.032,291.410
r,0.098,0.175,291.662
a,0.109,0.266,291.753
b,0.091,1.042,292.904
u,0.064,0.033,293.028
t,0.107,0.145,293.237
a,0.128,0.217,293.309
y,0.101,0.518,293.955
o,0.037,0.032,294.088
i,0.081,0.104,294.228
u,0.047,0.105,294.229
y,0.116,0.699,295.008
o,0.062,0.033,295.157
u,0.070,0.089,295.309
i,0.071,0.260,295.638
d,0.134,0.679,296.387
a,0.114,0.780,296.489
m,0.067,0.093,296.696
n,0.029,0.107,296.710
e,0.089,0.036,296.798
d,0.136,0.706,297.593
a,0.110,0.810,297.697
m,0.064,0.049,297.857
e,0.092,0.024,297.944
s,0.101,0.751,298.787
i,0.049,0.033,298.921
a,0.090,0.104,299.075
i,0.067,0.075,299.240
right,0.145,19.283,318.590
