キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
r,0.194,0.285,196.681
q,0.085,0.050,196.925
i,0.194,0.091,197.100
d,0.152,0.842,198.137
a,0.171,0.054,198.342
r,0.180,0.207,198.496
e,0.131,0.049,198.725
w,0.161,0.348,199.204
a,0.164,0.061,199.425
k,0.135,0.165,199.530
u,0.165,0.060,199.724
d,0.150,0.150,200.040
s,0.165,0.225,200.415
a,0.150,0.016,200.596
k,0.113,0.021,200.767
u,0.133,0.062,200.942
k,0.180,0.421,201.496
a,0.165,0.556,201.632
v,0.134,0.194,201.991
b,0.151,0.227,202.353
a,0.075,0.102,202.606
k,0.183,0.075,202.756
a,0.164,0.242,202.923
b,0.180,0.119,203.206
a,0.206,0.032,203.419
n,0.120,0.016,203.641
n,0.122,0.046,203.807
n,0.175,0.392,204.320
a,0.169,0.507,204.435
k,0.118,0.014,204.619
a,0.180,0.072,204.676
space,0.135,0.706,205.562
b,0.136,4.573,210.270
i,0.120,0.016,210.422
-,0.180,0.165,210.707
t,0.134,0.194,211.081
i,0.166,0.016,211.231
k,0.164,1.785,213.182
o,0.130,0.050,213.396
t,0.120,0.059,213.585
t,0.114,0.051,213.757
i,0.150,0.061,213.931
h,0.166,0.781,214.862
a,0.192,0.016,215.044
t,0.137,0.031,215.267
o,0.184,0.054,215.458
t,0.165,0.719,216.361
u,0.180,0.016,216.542
g,0.149,0.333,217.055
i,0.182,0.055,217.259
j,0.166,1.005,218.446
i,0.158,0.074,218.687
m,0.150,0.142,218.987
i,0.135,0.089,219.226
z,0.091,0.498,219.859
e,0.167,0.088,220.037
r,0.181,0.027,220.231
o,0.161,0.050,220.461
a,0.165,0.391,221.013
p,0.167,0.192,221.371
p,0.149,0.033,221.570
u,0.203,0.035,221.754
m,0.165,0.464,222.421
a,0.181,0.584,222.541
r,0.165,0.061,222.783
u,0.231,0.044,222.991
k,0.178,0.491,223.713
a,0.181,0.624,223.846
m,0.163,0.016,224.043
e,0.163,0.120,224.148
i,0.167,0.013,224.324
r,0.077,0.735,225.226
t,0.189,0.485,225.789
i,0.166,0.059,226.037
g,0.150,0.088,226.291
a,0.163,0.016,226.458
i,0.178,0.032,226.653
s,0.179,0.316,227.148
a,0.177,0.049,227.376
k,0.171,0.022,227.575
e,0.162,0.150,227.703
r,0.164,0.421,228.287
i,0.150,0.031,228.482
s,0.106,0.014,228.647
u,0.155,0.029,228.781
d,0.125,0.610,229.547
i,0.150,0.385,230.057
s,0.168,0.062,230.269
i,0.149,0.226,230.433
k,0.103,0.061,230.643
i,0.154,0.059,230.806
i,0.177,0.224,231.185
r,0.165,0.059,231.421
a,0.141,0.055,231.641
i,0.168,0.122,231.904
k,0.241,0.206,232.277
e,0.165,0.340,232.412
g,0.166,0.196,232.772
a,0.184,0.015,232.953
a,0.207,0.584,233.721
i,0.201,0.075,234.003
d,0.116,0.276,234.204
a,0.180,0.328,234.647
t,0.174,0.411,235.238
y,0.183,0.059,235.471
o,0.178,0.242,235.655
u,0.164,0.016,235.848
k,0.199,0.315,236.327
a,0.196,0.496,236.508
t,0.166,0.058,236.761
a,0.179,0.016,236.944
s,0.153,0.330,237.452
o,0.162,0.015,237.619
r,0.044,0.015,237.797
t,0.134,0.122,237.963
s,0.137,0.240,238.337
o,0.195,0.060,238.534
t,0.180,0.239,238.712
o,0.165,0.164,238.892
k,0.134,1.651,240.709
o,0.179,0.060,240.903
u,0.136,0.059,241.142
e,0.122,0.047,241.324
n,0.107,0.042,241.488
n,0.107,0.044,241.639
j,0.090,3.687,245.433
i,0.110,0.055,245.578
k,0.154,0.044,245.732
a,0.178,0.182,245.870
n,0.102,0.118,246.005
n,0.106,0.046,246.153
n,0.149,1.800,248.059
o,0.163,0.016,248.224
r,0.180,0.150,248.358
i,0.181,0.150,248.538
o,0.134,0.240,248.959
o,0.160,0.049,249.142
t,0.161,0.018,249.321
o,0.120,0.212,249.694
o,0.176,0.048,249.862
g,0.166,0.015,250.053
a,0.209,0.181,250.219
t,0.163,0.046,250.474
a,0.149,0.015,250.653
d,0.145,0.290,251.093
a,0.193,0.032,251.270
m,0.179,0.331,251.794
e,0.151,0.213,252.187
f,0.241,1.241,253.578
u,0.166,0.360,254.179
a,0.150,0.179,254.523
n,0.114,0.051,254.725
n,0.112,0.052,254.891
b,0.178,0.587,255.590
a,0.165,0.060,255.828
k,0.165,0.180,255.948
a,0.174,0.021,256.135
w,0.180,0.451,256.759
a,0.181,0.630,256.939
n,0.164,0.015,257.135
i,0.165,0.016,257.315
n,0.134,0.420,257.899
o,0.180,0.030,258.063
r,0.129,0.020,258.264
i,0.166,0.149,258.393
s,0.195,0.570,259.129
u,0.120,0.016,259.340
k,0.118,0.060,259.520
u,0.166,0.074,259.712
a,0.135,1.425,261.303
b,0.150,0.241,261.680
i,0.132,0.107,261.937
r,0.149,0.032,262.100
u,0.177,0.168,262.237
b,0.224,1.261,263.675
a,0.196,1.485,263.899
o,0.118,0.046,264.141
o,0.165,1.035,265.294
a,0.053,0.050,265.510
k,0.147,0.035,265.598
a,0.145,0.049,265.794
space,0.090,0.286,266.224
u,0.195,1.996,268.311
s,0.140,0.057,268.563
i,0.184,0.054,268.757
r,0.179,0.376,269.316
o,0.180,0.119,269.615
n,0.180,2.250,272.045
a,0.180,0.016,272.240
u,0.167,0.059,272.479
n,0.152,0.208,272.854
u,0.148,0.135,273.141
r,0.165,0.060,273.349
u,0.159,0.185,273.475
i,0.149,0.046,273.680
g,0.150,0.676,274.505
o,0.135,0.104,274.759
k,0.122,0.089,274.983
a,0.210,0.466,275.571
i,0.149,0.015,275.796
n,0.136,0.435,276.379
u,0.182,0.074,276.589
r,0.156,0.053,276.824
u,0.165,0.180,276.951
i,0.164,0.060,277.175
r,0.168,1.081,278.421
i,0.129,0.016,278.606
t,0.169,0.058,278.792
u,0.180,0.210,278.945
d,0.090,0.977,280.101
e,0.150,0.089,280.280
r,0.135,0.044,280.475
u,0.210,0.030,280.640
g,0.165,0.451,281.301
y,0.198,0.075,281.540
o,0.207,0.272,281.738
u,0.175,0.167,281.905
b,0.183,0.390,282.470
i,0.161,0.016,282.669
r,0.166,0.017,282.848
u,0.176,0.015,283.028
y,0.156,0.360,283.565
o,0.161,0.499,283.704
m,0.120,0.075,283.940
i,0.121,0.106,284.166
b,0.143,0.455,284.742
a,0.181,0.598,284.885
a,0.131,0.049,285.115
i,0.162,0.106,285.352
a,0.183,0.391,285.905
i,0.150,0.016,286.103
s,0.165,0.073,286.161
u,0.154,0.010,286.336
t,0.165,0.676,287.165
a,0.178,0.049,287.379
t,0.181,0.210,287.540
u,0.180,0.149,287.705
f,0.133,1.307,289.192
j,0.166,0.405,289.730
i,0.139,0.137,290.033
n,0.132,0.298,290.470
j,0.180,0.495,291.096
i,0.134,0.059,291.336
l,0.163,1.847,293.318
y,0.167,0.841,294.322
a,0.172,0.052,294.540
t,0.150,0.750,295.462
u,0.133,0.046,295.658
y,0.150,0.150,295.941
u,0.194,0.285,296.377
h,0.210,0.660,297.231
a,0.151,0.029,297.470
j,0.165,0.526,298.146
a,0.178,0.048,298.359
m,0.179,0.015,298.552
a,0.151,0.164,298.701
k,0.184,0.569,299.421
a,0.199,0.705,299.557
t,0.177,0.134,299.739
u,0.159,0.021,299.937
o,0.134,0.436,300.531
k,0.118,0.063,300.729
o,0.135,0.044,300.891
s,0.134,0.015,301.041
u,0.149,0.016,301.192
h,0.166,0.572,301.912
u,0.155,0.057,302.135
m,0.136,0.161,302.451
u,0.180,0.074,302.661
a,0.150,0.766,303.607
k,0.145,0.050,303.807
a,0.179,0.150,303.907
i,0.159,0.022,304.108
n,0.180,0.209,304.476
a,0.151,0.359,304.626
m,0.180,0.105,304.761
a,0.150,0.135,304.912
i,0.136,0.044,305.106
a,0.150,0.284,305.526
i,0.181,0.048,305.723
s,0.137,0.210,305.886
a,0.178,0.119,306.022
t,0.139,0.056,306.257
u,0.226,0.059,306.455
n,0.135,0.439,307.120
i,0.140,0.054,307.309
s,0.179,0.178,307.432
i,0.195,0.162,307.611
a,0.178,1.037,308.843
h,0.119,0.017,309.038
a,0.167,0.615,309.772
b,0.181,0.088,310.027
u,0.211,0.088,310.296
