key_info,duration,delay,elapsed_time,推定感情
u,0.137,0.151,211.35,設定状況の魅力
y,0.146,2.053,213.54,設定状況の魅力
o,0.127,2.18,213.667,設定状況の魅力
t,0.03,0.576,214.37,設定状況の魅力
t,0.071,0.098,214.498,設定状況の魅力
u,0.061,0.051,214.619,設定状況の魅力
d,0.106,1.158,215.838,設定状況の魅力
a,0.093,1.259,215.94,設定状況の魅力
s,0.102,0.095,216.127,設定状況の魅力
u,0.117,0.128,216.161,設定状況の魅力
h,0.09,0.673,216.95,設定状況の魅力
e,0.073,0.03,217.071,設定状況の魅力
b,0.077,0.233,217.378,設定状況の魅力
n,0.107,0.234,217.378,設定状況の魅力
i,0.142,0.283,217.428,設定状況の魅力
h,0.077,2.136,219.706,設定状況の魅力
e,0.117,2.208,219.777,設定状況の魅力
b,0.117,0.217,220.111,設定状況の魅力
i,0.124,0.3,220.194,設定状況の魅力
d,0.075,1.952,222.269,設定状況の魅力
i,0.034,0.157,222.501,設定状況の魅力
o,0.064,0.157,222.501,設定状況の魅力
d,0.066,1.23,223.795,設定状況の魅力
o,0.081,1.291,223.856,設定状況の魅力
r,0.073,0.092,224.029,設定状況の魅力
u,0.077,0.157,224.094,設定状況の魅力
o,0.081,1.098,225.269,設定状況の魅力
o,0.108,0.121,225.471,設定状況の魅力
m,0.113,0.674,226.253,設定状況の魅力
o,0.095,0.771,226.35,設定状況の魅力
u,0.078,0.125,226.569,設定状況の魅力
b,0.073,1.532,228.179,設定状況の魅力
e,0.067,0.042,228.294,設定状況の魅力
r,0.084,0.088,228.448,設定状況の魅力
u,0.098,0.146,228.507,設定状況の魅力
j,0.128,0.898,229.502,設定状況の魅力
h,0.09,0.901,229.505,設定状況の魅力
i,0.109,0.947,229.552,設定状況の魅力
j,0.142,0.351,230.012,設定状況の魅力
i,0.1,0.423,230.084,設定状況の魅力
k,0.197,0.088,230.272,設定状況の魅力
u,0.105,0.21,230.394,設定状況の魅力
a,0.083,0.421,230.921,設定状況の魅力
m,0.087,0.493,230.993,設定状況の魅力
a,0.07,0.032,231.112,設定状況の魅力
i,0.085,0.028,231.21,設定状況の魅力
i,0.064,0.978,232.273,設定状況の魅力
k,0.061,0.133,232.47,設定状況の魅力
a,0.101,0.105,232.636,設定状況の魅力
i,0.094,0.664,233.4,設定状況の魅力
k,0.097,0.107,233.602,設定状況の魅力
a,0.09,0.032,233.73,設定状況の魅力
i,0.079,0.77,234.589,設定状況の魅力
k,0.079,0.095,234.764,設定状況の魅力
o,0.117,0.167,235.01,設定状況の魅力
u,0.096,0.071,235.198,設定状況の魅力
d,0.106,0.778,236.072,設定状況の魅力
a,0.11,0.074,236.252,設定状況の魅力
m,0.103,0.256,236.617,設定状況の魅力
e,0.116,0.04,236.761,設定状況の魅力
o,0.143,0.749,237.626,設定状況の魅力
u,0.127,0.837,237.714,設定状況の魅力
j,0.156,0.282,238.123,設定状況の魅力
i,0.121,0.36,238.201,設定状況の魅力
d,0.089,0.808,239.13,設定状況の魅力
o,0.092,0.031,239.25,設定状況の魅力
k,0.185,0.155,239.498,設定状況の魅力
u,0.108,0.263,239.606,設定状況の魅力
s,0.105,0.429,240.143,設定状況の魅力
o,0.093,0.513,240.226,設定状況の魅力
t,0.11,0.174,240.494,設定状況の魅力
o,0.093,0.047,240.65,設定状況の魅力
b,0.119,0.459,241.203,設定状況の魅力
i,0.059,0.025,241.346,設定状況の魅力
r,0.076,0.145,241.55,設定状況の魅力
u,0.081,0.031,241.658,設定状況の魅力
f,0.069,1.315,243.054,設定状況の魅力
u,0.077,0.056,243.179,設定状況の魅力
r,0.096,0.15,243.406,設定状況の魅力
u,0.084,0.046,243.549,設定状況の魅力
k,0.085,0.804,244.437,設定状況の魅力
i,0.089,0.115,244.637,設定状況の魅力
z,0.107,0.162,244.889,設定状況の魅力
u,0.107,0.267,244.994,設定状況の魅力
b,0.07,0.877,245.977,設定状況の魅力
a,0.082,0.031,246.078,設定状況の魅力
s,0.086,0.25,246.41,設定状況の魅力
u,0.111,0.043,246.539,設定状況の魅力
m,0.076,0.627,247.277,設定状況の魅力
a,0.088,0.031,247.384,設定状況の魅力
d,0.095,0.13,247.602,設定状況の魅力
o,0.094,0.221,247.693,設定状況の魅力
a,0.105,0.823,248.61,設定状況の魅力
i,0.102,0.031,248.746,設定状況の魅力
s,0.099,0.08,248.928,設定状況の魅力
u,0.122,0.028,249.055,設定状況の魅力
s,0.117,1.55,250.727,設定状況の魅力
k,0.179,1.654,250.831,設定状況の魅力
f,0.104,3.1,254.11,設定状況の魅力
u,0.107,0.071,254.285,設定状況の魅力
n,0.097,0.191,254.583,設定状況の魅力
e,0.115,0.031,254.711,設定状況の魅力
m,0.069,0.551,255.377,設定状況の魅力
n,0.078,0.38,255.827,設定状況の魅力
a,0.1,0.04,255.945,設定状況の魅力
m,0.107,0.076,256.121,設定状況の魅力
e,0.112,0.03,256.258,設定状況の魅力
o,0.102,1.433,257.803,設定状況の魅力
r,0.058,0.422,258.327,設定状況の魅力
t,0.09,0.327,258.712,設定状況の魅力
o,0.067,0.04,258.842,設定状況の魅力
r,0.084,0.087,258.996,設定状況の魅力
u,0.131,0.159,259.069,設定状況の魅力
w,0.099,0.932,260.132,設定状況の魅力
a,0.084,0.048,260.279,設定状況の魅力
i,0.086,0.079,260.442,設定状況の魅力
n,0.078,0.122,260.65,設定状況の魅力
n,0.099,0.072,260.8,設定状況の魅力
a,0.064,0.501,261.4,設定状況の魅力
m,0.084,0.038,261.501,設定状況の魅力
a,0.063,0.03,261.615,設定状況の魅力
r,0.087,0.168,261.846,設定状況の魅力
u,0.113,0.054,261.987,設定状況の魅力
m,0.079,0.527,262.627,設定状況の魅力
a,0.069,0.044,262.749,設定状況の魅力
d,0.101,0.124,262.943,設定状況の魅力
o,0.079,0.032,263.076,設定状況の魅力
a,0.073,0.338,263.493,設定状況の魅力
i,0.081,0.062,263.628,設定状況の魅力
t,0.074,0.35,264.06,設定状況の魅力
e,0.131,0.101,264.235,設定状況の魅力
b,0.102,0.291,264.657,設定状況の魅力
a,0.05,0.028,264.786,設定状況の魅力
k,0.047,0.147,264.984,設定状況の魅力
a,0.116,0.032,265.063,設定状況の魅力
s,0.082,1.34,266.519,設定状況の魅力
i,0.081,0.144,266.745,設定状況の魅力
t,0.065,0.052,266.878,設定状況の魅力
u,0.07,0.03,266.973,設定状況の魅力
space,0.069,0.356,267.399,設定状況の魅力
k,0.116,8.25,275.719,設定状況の魅力
o,0.099,8.316,275.785,設定状況の魅力
n,0.119,0.225,276.109,設定状況の魅力
g,0.121,0.393,276.622,設定状況の魅力
o,0.081,0.514,276.742,設定状況の魅力
r,0.087,5.755,282.578,設定状況の魅力
a,0.095,0.064,282.729,設定状況の魅力
j,0.127,0.226,283.05,設定状況の魅力
i,0.107,0.281,283.105,設定状況の魅力
o,0.128,0.104,283.316,設定状況の魅力
y,0.09,2.465,285.909,設定状況の魅力
o,0.232,0.03,286.029,設定状況の魅力
u,0.058,0.04,286.301,設定状況の魅力
r,0.084,1.038,287.396,設定状況の魅力
i,0.096,1.096,287.455,設定状況の魅力
t,0.079,0.115,287.665,設定状況の魅力
u,0.091,0.175,287.725,設定状況の魅力
d,0.096,5.27,293.086,設定状況の魅力
a,0.065,0.028,293.21,設定状況の魅力
n,0.088,0.028,293.302,設定状況の魅力
s,0.097,0.071,293.462,設定状況の魅力
u,0.068,0.028,293.586,設定状況の魅力
s,0.122,2.145,295.799,設定状況の魅力
i,0.074,0.089,296.01,設定状況の魅力
r,0.035,0.113,296.196,設定状況の魅力
u,0.087,0.141,296.225,設定状況の魅力
t,0.07,1.117,297.429,設定状況の魅力
o,0.063,0.031,297.531,設定状況の魅力
k,0.076,0.116,297.71,設定状況の魅力
i,0.093,0.083,297.868,設定状況の魅力
n,0.082,0.348,298.31,設定状況の魅力
e,0.116,0.036,298.428,設定状況の魅力
g,0.108,0.206,298.75,設定状況の魅力
i,0.111,0.03,298.889,設定状況の魅力
s,0.094,0.426,299.425,設定状況の魅力
i,0.076,0.037,299.557,設定状況の魅力
k,0.088,0.121,299.754,設定状況の魅力
i,0.09,0.084,299.926,設定状況の魅力
d,0.079,0.688,300.704,設定状況の魅力
a,0.081,0.066,300.848,設定状況の魅力
s,0.091,0.054,300.984,設定状況の魅力
u,0.093,0.048,301.123,設定状況の魅力
w,0.09,0.596,301.813,設定状況の魅力
a,0.082,0.031,301.934,設定状況の魅力
r,0.11,0.067,302.083,設定状況の魅力
u,0.098,0.162,302.178,設定状況の魅力
n,0.085,0.952,303.229,設定状況の魅力
u,0.082,0.396,303.709,設定状況の魅力
r,0.09,0.089,303.881,設定状況の魅力
u,0.078,0.176,303.968,設定状況の魅力
b,0.142,1.087,305.133,設定状況の魅力
i,0.073,0.03,305.305,設定状況の魅力
e,0.084,0.501,305.879,設定状況の魅力
b,0.128,0.107,306.07,設定状況の魅力
i,0.1,0.194,306.157,設定状況の魅力
s,0.077,0.192,306.449,設定状況の魅力
u,0.066,0.056,306.583,設定状況の魅力
space,0.092,0.518,307.167,設定状況の魅力
o,0.074,9.209,316.467,設定状況の魅力
k,0.12,9.267,316.525,設定状況の魅力
o,0.093,0.074,316.615,設定状況の魅力
r,0.117,0.145,316.853,設定状況の魅力
u,0.13,0.194,316.902,設定状況の魅力
b,0.165,1.911,318.943,設定状況の魅力
o,0.116,2.053,319.085,設定状況の魅力
k,0.169,0.172,319.374,設定状況の魅力
u,0.115,0.285,319.486,設定状況の魅力
g,0.073,0.645,320.247,設定状況の魅力
o,0.06,0.028,320.348,設定状況の魅力
g,0.077,0.042,320.45,設定状況の魅力
