key_info,duration,delay,elapsed_time,推定感情
f,0.119,3.722,447.537,設定状況の魅力
u,0.105,3.763,447.578,設定状況の魅力
r,0.162,0.199,447.883,設定状況の魅力
e,0.149,0.278,447.961,設定状況の魅力
r,0.127,0.16,448.27,設定状況の魅力
u,0.083,0.283,448.394,設定状況の魅力
f,0.116,1.977,450.453,設定状況の魅力
u,0.127,2.084,450.561,設定状況の魅力
u,0.13,0.311,450.998,設定状況の魅力
f,0.079,0.5,451.627,設定状況の魅力
u,0.084,0.55,451.677,設定状況の魅力
u,0.081,2.557,454.318,設定状況の魅力
i,0.134,1.128,455.527,設定状況の魅力
t,0.119,0.335,455.996,設定状況の魅力
i,0.09,0.428,456.089,設定状況の魅力
o,0.09,0.373,456.552,設定状況の魅力
u,0.087,0.205,456.847,設定状況の魅力
t,0.145,1.064,457.999,設定状況の魅力
a,0.133,1.164,458.098,設定状況の魅力
m,0.133,0.074,458.306,設定状況の魅力
e,0.155,0.038,458.477,設定状況の魅力
g,0.133,2.012,460.643,設定状況の魅力
o,0.115,2.116,460.747,設定状況の魅力
m,0.096,0.481,461.343,設定状況の魅力
e,0.151,0.536,461.398,設定状況の魅力
n,0.069,0.268,461.818,設定状況の魅力
n,0.082,0.069,461.956,設定状況の魅力
g,0.123,3.572,465.61,設定状況の魅力
i,0.099,3.656,465.693,設定状況の魅力
s,0.191,0.336,466.128,設定状況の魅力
a,0.198,0.42,466.212,設定状況の魅力
g,0.104,1.317,467.727,設定状況の魅力
i,0.13,1.403,467.813,設定状況の魅力
s,0.113,0.153,468.096,設定状況の魅力
e,0.13,0.094,468.302,設定状況の魅力
i,0.09,0.047,468.479,設定状況の魅力
m,0.093,0.924,469.493,設定状況の魅力
i,0.085,0.082,469.667,設定状況の魅力
n,0.082,0.093,469.844,設定状況の魅力
n,0.067,0.083,470.01,設定状況の魅力
n,0.067,0.07,470.146,設定状況の魅力
a,0.132,0.033,470.245,設定状況の魅力
n,0.078,1.084,471.46,設定状況の魅力
u,0.073,0.121,471.66,設定状況の魅力
r,0.132,0.176,471.91,設定状況の魅力
u,0.142,0.245,471.978,設定状況の魅力
i,0.087,1.209,473.329,設定状況の魅力
k,0.09,0.154,473.571,設定状況の魅力
e,0.135,0.516,474.176,設定状況の魅力
n,0.081,0.174,474.485,設定状況の魅力
n,0.087,0.049,474.615,設定状況の魅力
u,0.098,0.895,475.598,設定状況の魅力
g,0.115,0.359,476.055,設定状況の魅力
o,0.072,0.03,476.199,設定状況の魅力
k,0.11,0.107,476.378,設定状況の魅力
u,0.081,0.116,476.604,設定状況の魅力
o,0.109,1.227,477.913,設定状況の魅力
d,0.115,0.4,478.422,設定状況の魅力
o,0.093,0.483,478.505,設定状況の魅力
r,0.102,0.077,478.676,設定状況の魅力
u,0.072,0.029,478.807,設定状況の魅力
r,0.127,1.02,479.899,設定状況の魅力
i,0.057,1.147,480.026,設定状況の魅力
k,0.09,0.103,480.187,設定状況の魅力
a,0.119,0.032,480.31,設定状況の魅力
u,0.096,0.923,481.352,設定状況の魅力
s,0.176,0.105,481.552,設定状況の魅力
a,0.157,0.199,481.647,設定状況の魅力
g,0.113,1.415,483.218,設定状況の魅力
i,0.096,1.511,483.314,設定状況の魅力
y,0.123,1.742,485.152,設定状況の魅力
o,0.115,1.835,485.246,設定状況の魅力
u,0.102,0.181,485.542,設定状況の魅力
k,0.087,0.497,486.142,設定状況の魅力
a,0.14,0.029,486.258,設定状況の魅力
y,0.131,2.213,488.611,設定状況の魅力
o,0.106,2.315,488.712,設定状況の魅力
b,0.11,1.081,489.899,設定状況の魅力
u,0.084,1.173,489.991,設定状況の魅力
e,0.125,1.734,491.81,設定状況の魅力
n,0.086,0.134,492.068,設定状況の魅力
p,0.083,0.939,493.092,設定状況の魅力
o,0.088,0.083,493.259,設定状況の魅力
u,0.066,0.129,493.477,設定状況の魅力
