キー情報,持続時間(s),遅延時間(s),経過時間(s) (セッション開始からの時間)
t,0.085,0.056,321.690
a,0.104,0.074,321.848
t,0.084,0.306,322.259
t,0.064,0.102,322.444
a,0.084,0.909,323.417
k,0.084,0.032,323.534
a,0.077,0.030,323.647
i,0.063,0.026,323.751
h,0.116,1.028,324.842
i,0.143,1.127,324.941
m,0.206,0.030,325.114
o,0.176,0.183,325.268
a,0.156,0.316,325.760
t,0.110,0.464,325.908
o,0.073,0.022,326.040
b,0.088,0.597,326.710
a,0.052,0.029,326.826
a,0.071,0.092,326.970
i,0.099,0.124,327.164
h,0.123,1.155,328.418
e,0.119,0.036,328.577
h,0.126,0.516,329.212
i,0.100,0.301,329.640
e,0.104,0.230,329.970
r,0.096,0.171,330.245
u,0.141,0.221,330.295
j,0.111,0.884,331.320
y,0.139,0.144,331.574
u,0.117,0.220,331.651
k,0.176,0.189,331.957
u,0.103,0.306,332.074
r,0.120,1.377,333.553
n,0.106,0.050,333.724
e,0.087,0.452,334.282
n,0.092,0.063,334.432
d,0.035,0.241,334.765
h,0.115,0.031,334.831
e,0.120,1.046,335.993
n,0.097,0.202,336.314
s,0.099,0.372,336.783
o,0.197,0.171,337.053
u,0.114,0.312,337.195
b,0.151,0.824,338.133
i,0.145,0.909,338.217
z,0.101,0.295,338.657
a,0.128,0.171,338.929
j,0.151,0.822,339.879
i,0.105,0.900,339.957
k,0.087,0.101,340.163
i,0.104,0.090,340.339
a,0.110,0.764,341.207
t,0.107,0.224,341.541
u,0.122,0.032,341.680
i,0.115,0.057,341.859
b,0.106,0.494,342.467
u,0.113,0.256,342.830
a,0.110,0.430,343.373
b,0.161,0.517,344.000
u,0.112,0.650,344.133
t,0.081,0.090,344.336
a,0.099,0.034,344.450
i,0.102,0.083,344.499
o,0.061,0.755,345.357
n,0.056,0.134,345.551
n,0.061,0.077,345.684
n,0.070,0.066,345.811
a,0.075,0.029,345.911
g,0.114,0.941,346.927
o,0.122,0.039,347.080
m,0.119,0.110,347.312
u,0.130,0.271,347.702
d,0.114,0.843,348.675
o,0.060,0.023,348.812
